player_id,family_name,given_name,wikipedia_title,reason
P-91428,Karlsson,Ulrika,Ulrika_Karlsson_(footballer),no_image_on_page
P-91430,Welcome,Georgie,Georgie_Welcome,no_image_on_page
P-91463,Möller,Jan,Jan_Möller,no_image_on_page
P-91477,Mohamed,Abdulaziz,Abdulaziz_Mohamed,no_image_on_page
P-91514,Kioka,Futaba,Futaba_Kioka,no_image_on_page
P-91529,Nagy,Miklós,Miklós_Nagy_(footballer),no_image_on_page
P-91558,López,Ligorio,Ligorio_López,no_image_on_page
P-91602,Melliti,Sofiane,Sofiane_Melliti,no_image_on_page
P-91608,Bouyboud,Abdelmajid,Abdelmajid_Bouyboud,no_image_on_page
P-91620,Cruz,Luis,José_Luis_Cruz,no_image_on_page
P-91633,Terp,Lene,Lene_Terp,no_image_on_page
P-91707,Al-Harbi,Mansoor,"Mansoor_Al-Harbi_(footballer,_born_1987)",no_image_on_page
P-91710,Parraguez,Nelson,Nelson_Parraguez,no_image_on_page
P-91753,Rotbøll,Helle,Helle_Rotbøll,no_image_on_page
P-91786,Abreu,Marco,Marco_Abreu,no_image_on_page
P-91871,Oliha,Thompson,Thompson_Oliha,no_image_on_page
P-91900,Najdanović,Dragutin,Dragutin_Najdanović,no_image_on_page
P-91907,Johansson,Sara,Sara_Johansson,no_image_on_page
P-91945,Nakachi,Mai,Mai_Nakachi,no_image_on_page
P-91946,Arias,Joaquín,Joaquín_Arias_(footballer),no_image_on_page
P-91949,Nwanu,Chidi,Chidi_Nwanu,no_image_on_page
P-91970,Víctor,not applicable,Víctor_Muñoz,no_image_on_page
P-91983,Calderón,José,José_Calderón_(Panamanian_footballer),no_image_on_page
P-91984,Bogstad,Oda Maria Hove,Oda_Maria_Hove_Bogstad,no_image_on_page
P-92120,Teilherber,not applicable,Teilherber_(footballer),no_image_on_page
P-92121,Choe,Kum-chol,Choe_Kum-chol,wikipedia_page_not_found
P-92139,Šegota,Branko,Branko_Šegota,no_image_on_page
P-92151,Al-Shahrani,Ibrahim,Ibrahim_Al-Shahrani,no_image_on_page
P-92164,Jong,Pok-sim,Jong_Pok-sim,no_image_on_page
P-92179,Avalos,Enrique,Enrique_Avalos,no_image_on_page
P-92191,Källgren,Olle,Olle_Källgren,no_image_on_page
P-92215,Park,Jung-bae,Park_Jung-bae_(footballer),no_image_on_page
P-92292,Eriksen,John,John_Eriksen,no_image_on_page
P-92333,Streb,Josef,Josef_Streb,no_image_on_page
P-92339,Thern,Jonas,Jonas_Thern,no_image_on_page
P-92367,Batty,David,David_Batty,no_image_on_page
P-92379,Tumburus,Paride,Paride_Tumburus,no_image_on_page
P-92381,Njoku,Ugo,Ugo_Njoku,no_image_on_page
P-92384,Vervoort,Patrick,Patrick_Vervoort,no_image_on_page
P-92425,Tomić,Novak,Novak_Tomić,no_image_on_page
P-92427,Itália,not applicable,Luiz_Gervazoni,no_image_on_page
P-92440,Ivanov,Aleksandr,"Aleksandr_Ivanov_(footballer,_born_1928)",no_image_on_page
P-92503,Bellaïd,Habib,Habib_Bellaïd,no_image_on_page
P-92554,Jaú,not applicable,Jaú_(footballer),no_image_on_page
P-92579,Janda,Anton,Anton_Janda,no_image_on_page
P-92592,Gonsebate,Andrea,Andrea_Gonsebate,no_image_on_page
P-92623,Calonga,Lorenzo,Lorenzo_Calonga,no_image_on_page
P-92650,Nattaya,Duanjanthuek,Nattaya_Duanjanthuek,no_image_on_page
P-92676,Khalifa,Labid,Labid_Khalifa,no_image_on_page
P-92698,Hughes,Philip,Philip_Hughes_(Northern_Irish_footballer),no_image_on_page
P-92709,Morf,Fritz,Fritz_Morf,no_image_on_page
P-92775,Lee,Ho,"Lee_Ho_(footballer,_born_1984)",no_image_on_page
P-92795,Adams,Ferdinand,Ferdinand_Adams,no_image_on_page
P-92800,Borja,Carlos,Carlos_Fernando_Borja,no_image_on_page
P-92838,Murillo,Miguel,Miguel_Murillo_(Bolivian_footballer),no_image_on_page
